"iso","aboveground_biomass_loss__Mg","treecover_loss__ha","aboveground_co2_emissions__Mg","treecover_loss__year"
"AUS",14532633.262762051,121315.76619887594,26643160.981730416,2011
"AUT",3673514.9894646425,18089.761358074127,6734777.480685179,2011
"AZE",16494.89184793767,147.4556886262809,30240.635054552393,2011
"BDI",132526.95517179012,960.5865305165012,242966.0844816152,2011
"BEL",1083929.1855414975,5016.268618970896,1987203.506826079,2011
"BEN",71814.55229449354,654.6675256212654,131660.0125399048,2011
"BES",1639.8634177315123,8.809001751506829,3006.416265841106,2011
"BFA",1581.5287664379703,15.318765268498593,2899.469405136279,2011
"BGD",863688.9192311489,4181.292614329539,1583429.685257106,2011
"BGR",471962.16915609466,3331.6906422361944,865263.9767861734,2011
"BHS",45689.648114599026,624.7938525199411,83764.35487676482,2011
"BIH",169438.5950818326,970.615088232779,310637.4243166931,2011
"BLR",5832015.175668519,45367.01352775561,10692027.822058953,2011
"BLZ",4912775.079128781,26386.279778176893,9006754.311736088,2011
"BMU",17.219571183775063,0.13045129684678078,31.569213836920948,2011
"BOL",54522452.917539865,330239.21071669715,99957830.34882306,2011
"BRA",347931823.7446624,1923363.6945466658,637875010.198548,2011
"BRB",2816.325336816335,18.13697372804326,5163.263117496614,2011
"BRN",808800.7604745552,2620.3632348769406,1482801.3942033523,2011
"BTN",265242.04610727815,1090.9935891274788,486277.0845300098,2011
"BWA",1347.6627353227632,21.433357927878127,2470.7150147584,2011
"CAF",9119767.8859127,49140.154897945635,16719574.457506618,2011
"CAN",165767130.39777014,2160700.601292038,303906405.72924536,2011
"CHE",418809.0229456655,1939.8543180228307,767816.5420670534,2011
"CHL",12934472.90781329,99349.7440205027,23713200.330991004,2011
"CHN",110916803.31033447,598586.6213597062,203347472.7356132,2011
"CIV",20245980.829302333,124683.49272816266,37117631.52038761,2011
"CMR",5990357.290912441,27651.745108447543,10982321.700006142,2011
"COD",96013131.77277437,429540.07869338477,176024074.91675293,2011
"COG",6108852.432574038,28374.344321615506,11199562.793052405,2011
"COL",42180350.54873324,189829.01904875023,77330642.6726776,2011
"COM",25126.494009041675,122.612099200037,46065.23901657641,2011
"CPV",,16.409443462350414,,2011
"CRI",2041421.3627858628,10495.814297124072,3742605.8317740792,2011
"CUB",1867336.639853265,16312.75170920837,3423450.5063976524,2011
"CUW",110.02991759998778,1.3546619640103397,201.72151559997758,2011
"CYM",3416.746036524816,39.77471242462945,6264.0344002954935,2011
"CYP",11865.574924296314,118.52639279946219,21753.55402787657,2011
"CZE",4063685.9992677355,21853.284871650783,7450090.998657515,2011
"DEU",6499289.8812299315,34271.55204556293,11915364.782254875,2011
"DMA",10687.053082959352,44.46318314959713,19592.93065209214,2011
"DNK",354242.9368277452,3132.3822869414957,649445.3841841989,2011
"DOM",1973857.6076135128,12960.421981061685,3618738.9472914413,2011
"DZA",949905.9624239486,8344.084462041932,1741494.2644439058,2011
"ECU",11562336.483309094,43630.407367153195,21197616.88606669,2011
"EGY",9067.227780531017,102.62333657770559,16623.250930973525,2011
"ESP",5757437.533124773,39325.56850963553,10555302.144062083,2011
"EST",2735524.652163146,27199.28504796513,5015128.528965767,2011
"ETH",2801616.6738160653,15462.734475627229,5136297.235329455,2011
"FIN",12532172.025929257,159354.70089162205,22975648.714203645,2011
"FJI",120039.67722990512,552.8023926625152,220072.74158815955,2011
"FRA",11325342.314672947,64074.31686300758,20763127.5769004,2011
"GAB",4113572.979269388,18160.655158393314,7541550.461993877,2011
"GBR",4089962.4929433963,22656.555172215412,7498264.570396223,2011
"GEO",86610.05814143404,539.714363789878,158785.10659262913,2011
"GGY",82.38875623490418,0.5042090116102145,151.04605309732432,2011
"GHA",5507306.768123063,36242.630113128944,10096729.074892279,2011
"GIN",3819861.197542819,27637.96099239983,7003078.862161836,2011
"GLP",13331.629455466003,73.90693008635478,24441.320668354336,2011
"GMB",2544.8026175134682,30.42262699526266,4665.471465441358,2011
"GNB",545928.1002984749,4283.911161332813,1000868.1838805374,2011
"GNQ",1869778.118716692,7706.364529105545,3427926.5509806024,2011
"GRC",630733.1157289525,6198.616501977358,1156344.04550308,2011
"GRD",9518.348859225904,40.1860068217039,17450.306241914157,2011
"GTM",7639008.713622777,40586.901239303625,14004849.308308423,2011
"GUF",883802.705401921,2708.796844563424,1620304.9599035215,2011
"GUY",2371711.1498865164,8362.988171547677,4348137.10812528,2011
"HKG",2654.5325182781226,15.468640024219226,4866.642950176558,2011
"HND",9936669.848699672,52571.55292969345,18217228.055949397,2011
"HRV",487827.99270697637,2918.689847772195,894351.3199627898,2011
"HTI",343959.02055414644,2564.2100328311635,630591.5376826017,2011
"HUN",1227129.6608011778,8225.275769277065,2249737.7114688256,2011
"IDN",354966269.17036676,1543628.922500576,650771493.4790051,2011
"IMN",1792.1647725214368,12.03946138505574,3285.6354162893012,2011
"IND",17979317.372187834,88460.3591508626,32962081.849011034,2011
"IRL",595448.5649317687,3108.8282691325808,1091655.7023749088,2011
"IRN",25325.428530111854,238.91215014646644,46429.95230520505,2011
"IRQ",341.56927070370455,3.2901355319399173,626.2103296234583,2011
"ISR",109485.72747479766,1065.3923516841887,200723.83370379556,2011
"ITA",1406168.1988562169,11450.62657122281,2577975.031236397,2011
"JAM",483816.47291892546,2385.222420013073,886996.8670180303,2011
"JEY",582.5696767024126,3.188722275538014,1068.0444072877565,2011
"JPN",6420660.093287297,35955.32688931188,11771210.171026716,2011
"KAZ",665915.6365477288,4852.338242944862,1220845.3336708362,2011
"KEN",2988360.677072009,17299.7572655212,5478661.241298679,2011
"KGZ",12390.752172090797,111.98228054740059,22716.378982166465,2011
"KHM",46714089.152180105,192154.66546491187,85642496.77899688,2011
"KNA",2457.720598287985,12.358805756857397,4505.821096861304,2011
"KOR",1494498.087528714,11709.679021045431,2739913.160469309,2011
"LAO",28616509.037558634,130932.95836267239,52463599.902190804,2011
"LBN",14243.294310016006,139.40904701801642,26112.706235029345,2011
"LBR",6011931.8558623325,34444.33601962231,11021875.069080945,2011
"LBY",855.7766495314049,9.487611197051752,1568.9238574742424,2011
"LCA",13592.649314656326,61.57842812022791,24919.857076869932,2011
"LIE",439.525744100781,1.8429366804908254,805.7971975180985,2011
"LKA",1951484.591902574,14736.92208366639,3577721.7518213866,2011
"LSO",437.0475702500379,3.3540785446062147,801.2538787917363,2011
"LTU",2725699.538461215,21735.15551364241,4997115.820512226,2011
"LUX",99107.27237167314,447.80867152154303,181696.66601473407,2011
"LVA",5187164.306109443,44737.561134705036,9509801.22786731,2011
"MAC",,0.7139752360895719,,2011
"MAF",1399.2495361124704,9.520155041840823,2565.290816206196,2011
"MAR",394277.9269586861,3392.461737801324,722842.8660909244,2011
"MDA",19906.28286991669,186.81249517470738,36494.85192818061,2011
"MDG",31842454.073317852,162323.48199746726,58377832.46774941,2011
"MDV",157.97866047757208,10.562158891219884,289.6275442088821,2011
"MEX",25142573.93803291,186771.2996197109,46094718.88639369,2011
"MKD",336865.6897019121,2156.63267669624,617587.0977868389,2011
"MLI",20244.80310936098,165.78566284811802,37115.472367161805,2011
"MLT",161.71472466654666,1.438825872669207,296.4769952220023,2011
"MMR",29056499.023632195,135716.36420600585,53270248.209992364,2011
"MNE",81785.85750545906,494.31559996842645,149940.73876000827,2011
